epoch,accuracy,loss,val_accuracy,val_loss
0,0.3600885570049286,1.3291875123977661,0.42363113164901733,1.2710480690002441
1,0.6138942837715149,1.0130822658538818,0.6714697480201721,0.8931214809417725
2,0.7774702310562134,0.6061702966690063,0.6945244669914246,0.7492051124572754
3,0.8433434963226318,0.4256334602832794,0.7118155360221863,0.7458884716033936
4,0.8768336772918701,0.33848169445991516,0.7002881765365601,0.7842555046081543
5,0.9025740623474121,0.27713924646377563,0.6945244669914246,0.8177950382232666
6,0.924439549446106,0.23240675032138824,0.680115282535553,0.8793392777442932
7,0.9360641837120056,0.19779524207115173,0.6685879230499268,0.9083714485168457
8,0.94768887758255,0.1662118285894394,0.6743515729904175,0.9696047306060791
9,0.9551619291305542,0.14709420502185822,0.6945244669914246,1.0314851999282837
10,0.9606974720954895,0.12707723677158356,0.6772334575653076,1.0408213138580322
11,0.9651259183883667,0.1158427745103836,0.6685879230499268,1.0749101638793945
12,0.9676169157028198,0.10974901914596558,0.6887608170509338,1.1003094911575317
13,0.9709382653236389,0.09742569923400879,0.6858789920806885,1.1655195951461792
14,0.975089967250824,0.08663113415241241,0.6714697480201721,1.2121877670288086
15,0.972045361995697,0.08720768988132477,0.6772334575653076,1.2101718187332153
16,0.972875714302063,0.08309635519981384,0.6657060384750366,1.2498875856399536
17,0.9778577089309692,0.07684269547462463,0.6714697480201721,1.2735463380813599
18,0.975089967250824,0.07767823338508606,0.6685879230499268,1.2918347120285034
19,0.976473867893219,0.07477182149887085,0.6685879230499268,1.3429721593856812
20,0.975643515586853,0.06977886706590652,0.6714697480201721,1.3699328899383545
21,0.9784113168716431,0.06804754585027695,0.6743515729904175,1.3631892204284668
22,0.976473867893219,0.06487154215574265,0.6714697480201721,1.4059406518936157
23,0.9778577089309692,0.06178965047001839,0.6714697480201721,1.4570562839508057
24,0.9759202599525452,0.06470359861850739,0.6628242135047913,1.4949768781661987
